20	node_20
23	node_23
39	node_39
14	node_14
44	node_44
28	node_28
29	node_29
38	node_38
31	node_31
11	node_11
36	node_36
48	node_48
2	node_2
27	node_27
8	node_8
41	node_41
12	node_12
1	node_1
53	node_53
47	node_47
51	node_51
6	node_6
26	node_26
15	node_15
42	node_42
32	node_32
49	node_49
10	node_10
24	node_24
5	node_5
4	node_4
7	node_7
19	node_19
17	node_17
34	node_34
9	node_9
30	node_30
54	node_54
55	node_55
33	node_33
3	node_3
18	node_18
46	node_46
22	node_22
35	node_35
13	node_13
37	node_37
56	node_56
57	node_57
45	node_45
16	node_16
25	node_25
43	node_43
40	node_40
21	node_21
61	node_61
50	node_50
64	node_64
66	node_66
70	node_70
71	node_71
183	node_183
187	node_187
77	node_77
79	node_79
80	node_80
84	node_84
85	node_85
86	node_86
90	node_90
89	node_89
91	node_91
95	node_95
101	node_101
105	node_105
108	node_108
109	node_109
114	node_114
115	node_115
119	node_119
122	node_122
133	node_133
134	node_134
136	node_136
140	node_140
141	node_141
143	node_143
145	node_145
159	node_159
103	node_103
164	node_164
110	node_110
